"","Observations","Posterior","Candidate"
"3018",50300,0,"WRIGHT Sue"
"3019",50400,0,"HRNJAK Ethan"
"3020",50400,0,"MAWSON Greg"
"3021",50400,1,"REGAN Michael"
"3022",50400,0,"SORENSEN Susan"
"3023",50400,0,"WILLIAMS Toby"
"3024",50400,0,"WRIGHT Sue"
"3025",50500,0,"HRNJAK Ethan"
"3026",50500,0,"MAWSON Greg"
"3027",50500,1,"REGAN Michael"
"3028",50500,0,"SORENSEN Susan"
"3029",50500,0,"WILLIAMS Toby"
"3030",50500,0,"WRIGHT Sue"
"3031",50600,0,"HRNJAK Ethan"
"3032",50600,0,"MAWSON Greg"
"3033",50600,1,"REGAN Michael"
"3034",50600,0,"SORENSEN Susan"
"3035",50600,0,"WILLIAMS Toby"
"3036",50600,0,"WRIGHT Sue"
"3037",50700,0,"HRNJAK Ethan"
"3038",50700,0,"MAWSON Greg"
"3039",50700,1,"REGAN Michael"
"3040",50700,0,"SORENSEN Susan"
"3041",50700,0,"WILLIAMS Toby"
"3042",50700,0,"WRIGHT Sue"
"3043",50800,0,"HRNJAK Ethan"
"3044",50800,0,"MAWSON Greg"
"3045",50800,1,"REGAN Michael"
"3046",50800,0,"SORENSEN Susan"
"3047",50800,0,"WILLIAMS Toby"
"3048",50800,0,"WRIGHT Sue"
"3049",50900,0,"HRNJAK Ethan"
"3050",50900,0,"MAWSON Greg"
"3051",50900,1,"REGAN Michael"
"3052",50900,0,"SORENSEN Susan"
"3053",50900,0,"WILLIAMS Toby"
"3054",50900,0,"WRIGHT Sue"
"3055",51000,0,"HRNJAK Ethan"
"3056",51000,0,"MAWSON Greg"
"3057",51000,1,"REGAN Michael"
"3058",51000,0,"SORENSEN Susan"
"3059",51000,0,"WILLIAMS Toby"
"3060",51000,0,"WRIGHT Sue"
"3061",51100,0,"HRNJAK Ethan"
"3062",51100,0,"MAWSON Greg"
"3063",51100,1,"REGAN Michael"
"3064",51100,0,"SORENSEN Susan"
"3065",51100,0,"WILLIAMS Toby"
"3066",51100,0,"WRIGHT Sue"
"3067",51200,0,"HRNJAK Ethan"
"3068",51200,0,"MAWSON Greg"
"3069",51200,1,"REGAN Michael"
"3070",51200,0,"SORENSEN Susan"
"3071",51200,0,"WILLIAMS Toby"
"3072",51200,0,"WRIGHT Sue"
"3073",51300,0,"HRNJAK Ethan"
"3074",51300,0,"MAWSON Greg"
"3075",51300,1,"REGAN Michael"
"3076",51300,0,"SORENSEN Susan"
"3077",51300,0,"WILLIAMS Toby"
"3078",51300,0,"WRIGHT Sue"
